0 [50000000 rands]: [0.35069674,0.44315574,0.165837,0.0352035,0.00470475,0.00038425,1.675e-05,1.25e-06,0.0,0.0,0.0511055,0.30541676,0.53828573,0.105192,0.013557,0.0007205,0.0010805,6.025e-05,0.28597376,0.5152755,0.17396376,0.024787], [0.25336483,0.2475425,0.19327787,0.094845735,0.034600254,0.009799993,0.0020462698,0.00055901526,0.0,0.0,0.11339357,0.23877253,0.25537747,0.15729676,0.058662873,0.013448265,0.016487341,0.0038805758,0.15988459,0.2650114,0.15087305,0.074731894]
1000000 [100000000 rands]: [0.3506195,0.44357124,0.1655945,0.0352335,0.00460375,0.00036025,1.725e-05,0.0,0.0,0.0,0.0510875,0.30524725,0.53832227,0.105343,0.01352625,0.00072025,0.00111675,5.25e-05,0.28591526,0.515304,0.1740845,0.02469625], [0.2536106,0.24766377,0.19324394,0.09493933,0.03411551,0.009489875,0.0020765837,0.0,0.0,0.0,0.11337634,0.23877877,0.25539127,0.1574773,0.05855642,0.013450601,0.016835688,0.0036396768,0.15958706,0.26484293,0.15095474,0.074613385]
2000000 [150000000 rands]: [0.35094774,0.44331226,0.16535075,0.03534675,0.0046595,0.00036625,1.65e-05,2.5e-07,0.0,0.0,0.0511205,0.30535275,0.538027,0.10549975,0.013584,0.0007245,0.00109575,6.325e-05,0.2860175,0.515066,0.1741385,0.024778], [0.25351253,0.24720623,0.19289722,0.09508309,0.03430071,0.009574882,0.002030942,0.0002499998,0.0,0.0,0.11344138,0.23896317,0.25561944,0.15754202,0.058676865,0.013489817,0.016624132,0.0039759898,0.15987493,0.26508775,0.1509198,0.07472065]
3000000 [200000000 rands]: [0.35043526,0.4433035,0.165855,0.035348,0.0046765,0.00036325,1.8e-05,5e-07,0.0,0.0,0.05107375,0.30612025,0.537756,0.10505,0.0135735,0.0007495,0.0010635,5.3e-05,0.28576,0.5154533,0.17404024,0.0247465], [0.25367883,0.24764064,0.19316894,0.09505535,0.03443299,0.009535751,0.0021212439,0.00035355304,0.0,0.0,0.11343404,0.23926938,0.2556337,0.15718141,0.05872402,0.013731835,0.016362883,0.0036396699,0.15967107,0.26498064,0.1509236,0.07468089]
4000000 [250000000 rands]: [0.350786,0.443679,0.165347,0.0351375,0.0046765,0.00035975,1.4e-05,2.5e-07,0.0,0.0,0.0509785,0.305242,0.538572,0.1052075,0.01352725,0.00072125,0.00107475,4.85e-05,0.2859815,0.51506126,0.174158,0.02479925], [0.2534861,0.2474082,0.19300325,0.09492686,0.03452,0.0095096305,0.0018707761,0.0002499998,0.0,0.0,0.11317936,0.23892692,0.25588074,0.15735511,0.058618046,0.013478402,0.01647445,0.0034817602,0.1596761,0.26486197,0.15100704,0.074748315]
5000000 [300000000 rands]: [0.351275,0.4432445,0.1652575,0.0351575,0.00468325,0.00036625,1.6e-05,0.0,0.0,0.0,0.0509755,0.30552724,0.53802973,0.1054675,0.0136015,0.00071575,0.001051,5.575e-05,0.285723,0.515569,0.17378725,0.02492075], [0.25366017,0.24742283,0.19309472,0.094897054,0.034483764,0.0095814075,0.0019999363,0.0,0.0,0.0,0.113294415,0.23890801,0.2557876,0.15757968,0.05871115,0.013441548,0.016283289,0.0037328792,0.15981354,0.26523638,0.15106761,0.074905895]
6000000 [350000000 rands]: [0.3509485,0.44356224,0.165217,0.0352545,0.00462725,0.0003725,1.8e-05,0.0,0.0,0.0,0.05114575,0.305409,0.53794676,0.1054985,0.01368525,0.0007205,0.00110925,5.375e-05,0.285569,0.5159578,0.1735795,0.02489375], [0.25330004,0.24748954,0.19302744,0.09490584,0.034254942,0.009649416,0.0021212446,0.0,0.0,0.0,0.11334371,0.23875636,0.25570288,0.15741765,0.058987513,0.013434315,0.016720705,0.0036653262,0.15980525,0.26512057,0.15099347,0.07487983]
7000000 [400000000 rands]: [0.35082674,0.44342324,0.1656355,0.03505025,0.00467775,0.000371,1.525e-05,2.5e-07,0.0,0.0,0.05090225,0.3055255,0.538297,0.10527525,0.01360575,0.00073575,0.00108575,5.625e-05,0.28608525,0.51520026,0.17398275,0.02473175], [0.253576,0.24774434,0.19315153,0.094590135,0.034464568,0.009649474,0.0019525029,0.00024999987,0.0,0.0,0.11308524,0.23886195,0.25591937,0.15735528,0.05872986,0.013602249,0.01656453,0.0037495778,0.15976478,0.2649573,0.15087019,0.07465774]
8000000 [450000000 rands]: [0.3510085,0.44368276,0.1651895,0.0350985,0.00462025,0.000383,1.725e-05,2.5e-07,0.0,0.0,0.05114525,0.30553424,0.537984,0.1053365,0.0135005,0.00072825,0.0010645,5.925e-05,0.28605774,0.5150515,0.1740085,0.02488225], [0.25349808,0.2476584,0.19295673,0.09474754,0.034210242,0.009796851,0.0020765834,0.00024999984,0.0,0.0,0.1135621,0.23878919,0.25563616,0.15720838,0.058597025,0.013505819,0.016408592,0.0038482444,0.15976553,0.26492417,0.15098314,0.07485694]
9000000 [500000000 rands]: [0.3512765,0.44351426,0.165149,0.035018,0.004653,0.0003705,1.825e-05,5e-07,0.0,0.0,0.050747,0.30554625,0.5381615,0.10554525,0.013544,0.00072425,0.00105875,4.95e-05,0.28571025,0.5154365,0.174064,0.02478925], [0.25354996,0.24782415,0.19314453,0.09469882,0.034388945,0.009630042,0.0021359227,0.0003535529,0.0,0.0,0.1131155,0.23919486,0.25569648,0.15766461,0.058602992,0.013496778,0.016334519,0.0035174624,0.15961896,0.26472124,0.15082432,0.07472988]
10000000 [550000000 rands]: [0.3506315,0.443391,0.165771,0.0351965,0.00463425,0.00036025,1.475e-05,7.5e-07,0.0,0.0,0.05121625,0.30576226,0.5378495,0.105172,0.01358375,0.0007185,0.00108225,5.875e-05,0.28588176,0.515198,0.17403175,0.0248885], [0.25323048,0.24760868,0.19340654,0.09486085,0.03423392,0.009516183,0.0019202294,0.00043301206,0.0,0.0,0.11348221,0.23870957,0.25553402,0.15714516,0.05880301,0.013411142,0.016545884,0.0038482526,0.15996662,0.2653081,0.15106584,0.07486195]
11000000 [600000000 rands]: [0.350484,0.44370976,0.16529675,0.035408,0.004707,0.0003735,2.025e-05,7.5e-07,0.0,0.0,0.051243,0.30563524,0.53786576,0.105256,0.0136025,0.00070925,0.00111375,5.5e-05,0.28577375,0.51545125,0.17394026,0.02483475], [0.25359237,0.24771322,0.19289678,0.09509875,0.034595437,0.009675252,0.002249909,0.00043301188,0.0,0.0,0.11345332,0.23883708,0.255679,0.15720344,0.058750287,0.013362615,0.016761478,0.0037076913,0.15981802,0.2650994,0.15094692,0.07479421]
12000000 [650000000 rands]: [0.351253,0.4429535,0.1654405,0.0352955,0.00467725,0.00036125,1.825e-05,7.5e-07,0.0,0.0,0.051023,0.30561975,0.538069,0.10528825,0.01356775,0.00071775,0.00109625,5.85e-05,0.28589225,0.5154355,0.17371425,0.024958], [0.25345132,0.24746808,0.19319566,0.094989344,0.034428336,0.009516144,0.002135923,0.00043301188,0.0,0.0,0.11325923,0.23873548,0.255544,0.15736286,0.058681168,0.013436789,0.016616583,0.0038238172,0.15991539,0.2652435,0.15110485,0.074963145]
13000000 [700000000 rands]: [0.3508175,0.4431145,0.1656895,0.0353425,0.00464825,0.000372,1.55e-05,2.5e-07,0.0,0.0,0.05117875,0.3055515,0.5380305,0.10523925,0.01354,0.0007225,0.00110925,5.775e-05,0.285869,0.515234,0.174092,0.024805], [0.25366998,0.24760711,0.19293098,0.09499097,0.03430862,0.009649436,0.0019684408,0.0002499998,0.0,0.0,0.113537095,0.23869708,0.25539932,0.1574123,0.058604978,0.013485286,0.01670949,0.003799232,0.15967634,0.26488665,0.1509254,0.07475102]
14000000 [750000000 rands]: [0.35080326,0.44336876,0.16538875,0.03539825,0.004651,0.00037525,1.425e-05,5e-07,0.0,0.0,0.05109625,0.306048,0.5376815,0.10517425,0.01365375,0.00071375,0.001091,4.975e-05,0.28592074,0.51520973,0.17405875,0.02481075], [0.2537726,0.24768323,0.19293264,0.09516513,0.034294583,0.00969132,0.0018874047,0.0003535529,0.0,0.0,0.113430545,0.2389592,0.25564983,0.15722457,0.05889726,0.013404406,0.016630087,0.003526332,0.15962498,0.26472175,0.15088154,0.07476037]
15000000 [800000000 rands]: [0.35097775,0.443356,0.1652605,0.035333,0.00467925,0.00037625,1.65e-05,7.5e-07,0.0,0.0,0.051032,0.30555874,0.5380992,0.10531,0.01356075,0.00073325,0.00107675,5.375e-05,0.28582826,0.5153925,0.17403875,0.0247405], [0.25358438,0.24773264,0.1929468,0.095122695,0.034431703,0.0097234715,0.0020309424,0.00043301185,0.0,0.0,0.11355555,0.23898703,0.25600836,0.15737553,0.058721114,0.0135977855,0.016466727,0.0036653257,0.15966693,0.2649749,0.15102549,0.074665286]
16000000 [850000000 rands]: [0.35100275,0.4435255,0.16531225,0.03511575,0.004654,0.0003725,1.7e-05,2.5e-07,0.0,0.0,0.05098825,0.3053865,0.538142,0.10548325,0.013453,0.000739,0.00108575,4.875e-05,0.28592625,0.5153525,0.173856,0.02486525], [0.25354588,0.24771607,0.19305676,0.09467351,0.034374267,0.009649416,0.0020614828,0.00024999978,0.0,0.0,0.113137685,0.23870291,0.25561586,0.15766966,0.058456324,0.013636494,0.016579615,0.0034907195,0.15990306,0.26528057,0.15111078,0.07484503]
