0 [5000068 rands]: [0.35118,0.44337,0.1653,0.035265,0.004545,0.0003225,1.75e-05,0.0,0.0,0.0,0.051125,0.3047775,0.53908,0.1050175,0.01357,0.0007575,0.001085,4.5e-05,0.286225,0.51496,0.173765,0.02505], [0.2540056,0.24831794,0.19298875,0.09504673,0.03395722,0.008973349,0.0020915768,0.0,0.0,0.0,0.1136166,0.23905553,0.2559033,0.1574546,0.05848808,0.013740495,0.016697988,0.0033538006,0.15956268,0.2649079,0.15117285,0.07508327]
100000 [10000152 rands]: [0.3506675,0.4436275,0.165425,0.0353175,0.0045175,0.00043,1.5e-05,0.0,0.0,0.0,0.0512775,0.305265,0.5387125,0.104745,0.0135175,0.0006625,0.0010675,5e-05,0.286125,0.51524,0.1738175,0.0248175], [0.25317076,0.24756366,0.19265792,0.0947143,0.033674426,0.010359301,0.0019364335,0.0,0.0,0.0,0.113666154,0.23801163,0.25565255,0.15651593,0.05855896,0.012949366,0.016529834,0.0035351808,0.1596206,0.2648636,0.15093243,0.074764416]
200000 [15000226 rands]: [0.35109,0.44334,0.1652575,0.035295,0.0046275,0.000375,1.5e-05,0.0,0.0,0.0,0.0509475,0.3051725,0.53764,0.10624,0.013655,0.0006375,0.001085,4.75e-05,0.2850275,0.5171125,0.1732525,0.0246075], [0.25373623,0.24846457,0.19309473,0.09502243,0.034285,0.009739579,0.0019364336,0.0,0.0,0.0,0.113037504,0.23826534,0.25496465,0.15824604,0.05874556,0.012657749,0.01654759,0.0034456851,0.15957743,0.2654671,0.15113056,0.07449057]
300000 [20000305 rands]: [0.3503425,0.44422,0.1653325,0.0347975,0.00496,0.0003175,3e-05,0.0,0.0,0.0,0.0510725,0.3053325,0.53891,0.104685,0.01349,0.00079,0.001035,7.75e-05,0.2852275,0.5167325,0.173195,0.024845], [0.25318867,0.24839202,0.19361569,0.09403993,0.035590004,0.008903606,0.0027384483,0.0,0.0,0.0,0.11378587,0.2384223,0.2558486,0.15686713,0.058730483,0.014120055,0.016245887,0.004401022,0.16004966,0.2655196,0.15087576,0.074792884]
400000 [25000383 rands]: [0.3514325,0.4426025,0.166115,0.0348425,0.0046625,0.00033,1.5e-05,0.0,0.0,0.0,0.05133,0.3057675,0.5376475,0.105255,0.0137825,0.000765,0.001115,6e-05,0.2847975,0.51748,0.1729525,0.02477], [0.253751,0.24719658,0.1938706,0.094573386,0.0343167,0.009076954,0.0019364336,0.0,0.0,0.0,0.11326509,0.23904103,0.2554448,0.15706728,0.059050124,0.013808141,0.01680794,0.0038725184,0.15968253,0.26472995,0.1502558,0.07469235]
500000 [30000463 rands]: [0.350735,0.4434425,0.1660675,0.0348825,0.00453,0.000335,7.5e-06,0.0,0.0,0.0,0.0511975,0.3049325,0.5386075,0.1052625,0.0136675,0.0006775,0.0010525,6.5e-05,0.2856725,0.5157175,0.1742525,0.0243575], [0.25319207,0.24719298,0.19383876,0.09462471,0.033940822,0.009145369,0.0013692859,0.0,0.0,0.0,0.11381208,0.23852265,0.25579795,0.15756881,0.0588224,0.01304477,0.01641698,0.004030605,0.15973212,0.2651294,0.15072887,0.074152455]
600000 [35000527 rands]: [0.3503125,0.4434025,0.1661825,0.0350425,0.004695,0.000355,1e-05,0.0,0.0,0.0,0.0513625,0.3045075,0.5390425,0.1050875,0.01365,0.0006225,0.001155,6.5e-05,0.2859825,0.5151875,0.17381,0.02502], [0.2533264,0.24711809,0.19325565,0.09452591,0.034665644,0.009480189,0.0015811071,0.0,0.0,0.0,0.11396279,0.23826098,0.2557808,0.15723707,0.05902269,0.012459434,0.016953347,0.004030605,0.15972127,0.26514375,0.15140206,0.07502666]
700000 [40000613 rands]: [0.350665,0.44282,0.166135,0.0353975,0.00466,0.00029,3e-05,2.5e-06,0.0,0.0,0.0510025,0.3059,0.537675,0.1054225,0.0139,0.0006525,0.001075,5.25e-05,0.2864675,0.514705,0.174035,0.0247925], [0.25332844,0.24871509,0.19309105,0.095630236,0.034198456,0.008509753,0.0027384483,0.0007905655,0.0,0.0,0.11306246,0.23956253,0.25566208,0.15735857,0.059575915,0.0127553595,0.016434547,0.0037910743,0.15979125,0.26473573,0.15078732,0.0747309]
800000 [45000691 rands]: [0.3517325,0.4421425,0.165305,0.0357275,0.00472,0.00036,1.25e-05,0.0,0.0,0.0,0.050765,0.3052025,0.538585,0.1054475,0.0133625,0.0007675,0.0010625,6.5e-05,0.2864875,0.5144125,0.174005,0.025095], [0.254256,0.24711716,0.19295208,0.095553234,0.034590047,0.009545702,0.0017677227,0.0,0.0,0.0,0.11317206,0.23982455,0.25575125,0.1571232,0.05818779,0.013965527,0.016340015,0.0040306044,0.15998606,0.26543438,0.15115725,0.075143136]
900000 [50000767 rands]: [0.351555,0.4430975,0.1651175,0.0350825,0.004765,0.000375,7.5e-06,0.0,0.0,0.0,0.0507175,0.30464,0.5400225,0.10462,0.01386,0.0006875,0.0011825,5.75e-05,0.2865375,0.5145925,0.1743225,0.0245475], [0.25344443,0.2470531,0.19299115,0.094524294,0.034674123,0.009803539,0.0013692859,0.0,0.0,0.0,0.112648174,0.2391432,0.25585654,0.15661946,0.059354026,0.013139725,0.017334262,0.0037910016,0.16030248,0.26581043,0.15143411,0.07440125]
