0 [50000000 rands]: [0.32237524,0.4497775,0.17746174,0.04309275,0.006469,0.00082375,0.0,0.0,0.0,0.0,0.06314,0.32711875,0.51846826,0.091273,0.0150145,0.0010685,0.00189325,9.15e-05,0.28420925,0.5178543,0.17343025,0.02450625], [0.24916616,0.24852717,0.19832082,0.10491346,0.041384198,0.014326849,0.0,0.0,0.0,0.0,0.1258004,0.24306181,0.25949413,0.1479425,0.06129597,0.016308982,0.022025054,0.0047819065,0.15914302,0.26423144,0.15079716,0.07433714]
1000000 [100000000 rands]: [0.32237726,0.44978124,0.1774575,0.04309025,0.00647025,0.0008235,0.0,0.0,0.0,0.0,0.0631405,0.32712826,0.518451,0.09128025,0.01501325,0.00106825,0.00189275,9.15e-05,0.2842135,0.51784974,0.17343125,0.0245055], [0.24915679,0.2485233,0.19832605,0.10491094,0.04138778,0.014324682,0.0,0.0,0.0,0.0,0.12580311,0.24306166,0.25950077,0.14795004,0.06129169,0.016307082,0.022019424,0.0047819065,0.15914112,0.2642322,0.15079725,0.07433613]
2000000 [150000000 rands]: [0.32238424,0.44977525,0.17745624,0.04309,0.00647025,0.000824,0.0,0.0,0.0,0.0,0.06314325,0.3271185,0.5184595,0.09127875,0.0150145,0.00106775,0.0018925,9.15e-05,0.28420624,0.51785225,0.1734365,0.024505], [0.24916078,0.24852106,0.19832069,0.10490895,0.04139231,0.014329015,0.0,0.0,0.0,0.0,0.12580398,0.24306177,0.2594997,0.14795057,0.06129597,0.016303308,0.022018025,0.0047819065,0.15914445,0.26423368,0.15079764,0.07433545]
3000000 [200000000 rands]: [0.3223915,0.449761,0.17746425,0.043089,0.00647025,0.000824,0.0,0.0,0.0,0.0,0.0631445,0.327115,0.51845574,0.09128475,0.0150155,0.001068,0.0018915,9.175e-05,0.284215,0.517848,0.17343175,0.02450525], [0.24916105,0.24851754,0.19832772,0.10491291,0.041390803,0.014329015,0.0,0.0,0.0,0.0,0.12580808,0.24306287,0.25949648,0.14795321,0.061296746,0.01630521,0.022012433,0.004788432,0.15914199,0.26423267,0.15079999,0.07433578]
4000000 [250000000 rands]: [0.32238474,0.449772,0.177457,0.04309225,0.00647025,0.00082375,0.0,0.0,0.0,0.0,0.0631475,0.32711124,0.5184652,0.091276,0.015014,0.0010675,0.001892,9.15e-05,0.284216,0.51784325,0.17343375,0.024507], [0.24915987,0.24851951,0.19832112,0.10491131,0.04138778,0.014326849,0.0,0.0,0.0,0.0,0.12580904,0.24306114,0.2594994,0.1479423,0.06129304,0.016301408,0.02201523,0.0047819065,0.15914491,0.26423383,0.15079644,0.07433815]
5000000 [300000000 rands]: [0.3224055,0.4497605,0.17745425,0.04308775,0.006468,0.000824,0.0,0.0,0.0,0.0,0.06313375,0.32710025,0.5184832,0.09128275,0.01501425,0.00106775,0.00189175,9.15e-05,0.2842135,0.5178475,0.17343375,0.02450525], [0.24917053,0.24851823,0.19831681,0.1049066,0.041381337,0.014329015,0.0,0.0,0.0,0.0,0.12579682,0.2430595,0.25950104,0.1479536,0.061295524,0.016303308,0.022013832,0.0047819065,0.15914309,0.26422966,0.15079562,0.07433578]
6000000 [350000000 rands]: [0.32238325,0.44975674,0.17746875,0.04309725,0.00646975,0.00082425,0.0,0.0,0.0,0.0,0.063146,0.3271175,0.51846474,0.09127175,0.015016,0.001068,0.00189225,9.2e-05,0.28420725,0.51786226,0.1734285,0.024502], [0.24915932,0.24851353,0.19832622,0.104918756,0.041386347,0.0143311815,0.0,0.0,0.0,0.0,0.12581278,0.24306002,0.25949946,0.14794134,0.061296627,0.01630521,0.022016628,0.0047949487,0.15914345,0.26423088,0.15079606,0.07433141]
7000000 [400000000 rands]: [0.3223925,0.4497655,0.17746174,0.04308725,0.0064695,0.0008235,0.0,0.0,0.0,0.0,0.06313325,0.3271115,0.518477,0.09127825,0.01501325,0.001068,0.00189175,9.15e-05,0.284206,0.517863,0.17342526,0.02450575], [0.24916452,0.24851573,0.19831862,0.104907975,0.041385632,0.014324706,0.0,0.0,0.0,0.0,0.12579706,0.24306065,0.25949532,0.1479462,0.061291695,0.01630521,0.022013832,0.0047819065,0.15913959,0.26422456,0.15079461,0.07433646]
8000000 [450000000 rands]: [0.32238525,0.4497675,0.1774575,0.0430945,0.006471,0.00082425,0.0,0.0,0.0,0.0,0.06314125,0.32712975,0.51845175,0.09127725,0.015014,0.0010685,0.0018925,9.15e-05,0.28420725,0.51785624,0.17343125,0.02450525], [0.24915321,0.2485118,0.19832069,0.10491604,0.041392945,0.0143311815,0.0,0.0,0.0,0.0,0.12580796,0.24305888,0.2595023,0.14794517,0.06129406,0.016308982,0.022018025,0.0047819065,0.15914148,0.26422587,0.15079601,0.07433578]
9000000 [500000000 rands]: [0.32238775,0.44976774,0.17746425,0.0430875,0.006469,0.00082375,0.0,0.0,0.0,0.0,0.0631355,0.32712325,0.51846874,0.0912725,0.01501575,0.00106775,0.0018915,9.15e-05,0.2842035,0.51786226,0.17343025,0.024504], [0.24916176,0.24852033,0.19832331,0.10490641,0.041384198,0.014326849,0.0,0.0,0.0,0.0,0.12579918,0.24305889,0.25949287,0.14794154,0.061297197,0.016303308,0.022012433,0.0047819065,0.15914327,0.26423702,0.15080088,0.0743341]
